score,comment
10,This series is amazing I love how the character is struggling with his social identity disorder. We can see arguments with Mark Spector and Steven Grant Which amazes me honestly. This series is leading to the supernatural and I am seeing a midnight sounds movie in the Works.
4,"Not much happened in the first episode that made sense to a guy like me not knowing a thing about who Moon knight is.

Maybe it will catch up in the next episodes but so far below average.

I'm a fan of Oscar Isaac and Ethan Hawke is doing his thing as well so no negative comments on the acting from me.

Hope the next episodes can change my mind but i doubt it."
8,Just finished episode 1. It grabs your attention immediately and makes you question many things! I love the characters and am very interior see what Marc/Steven does when he isn't himself before Moonknight. I can't wait to see more!
7,"It's just watchable, nothing else.... probably (for sure) i wouldn't have watched this if i didn't have oscar isaac it's an ok series, but terribly cliche and predictable oscar shines in everything so the 7 is basically because of him and so far (until now) they haven't put political garbage in the series."
5,"Trailer got me super excited as the cast is fantastic. Felt like they dont respect audience intelligence at all. Dude literally has a smart phone and asks waiter what day it is. Lot of silly things like people with ak standing few feet infront and refuse to shoot him. Lot of shaky cam too.

I looked up the show runner after watching the episode and its the same dude who made fantastic 4. So i guess this answers a lot.

The premise itself is really interesting but 1st episode is a bummer."
6,"I saw the trailer and i said : wow, a new disney marvel serie more ""adult"". Its about time.

The punisher or Daredevil 2.0 ?

I watched 1st episode. I cannot say that i dislike it. Its kinda good. But for adult ? No way. Trailer is deceiving.

My 10yrs old girl asked me if she can watch it and i said yes no problem."
5,"Pretty standard fare here. Isaac's performance is mediocre, Swan's is in the bland side, and supporting cast's grades are nothing to write home about.

The plot is meh, and unoriginal. MK wakes up outside of his bed and can't count for the missed days. Hmmmm... that's it?

Maybe expectations too high."
9,"I love reading other peoples negative reviews of what I believe is fantastic entertainment, unlike most previous marvel properties, this may be a little more cerebral and does not spoon feed you. It's interesting that most marvel fans won't question a multiverse but do question legitimate mental disorders. Cannot wait for the next episode."
10,"If the series maintains the same first episode energy for the rest of the series this can be really one of the best marvel series out there. I enjoyed it and recommend it for everyone to check it out who likes marvel stuff. It can be a good mini series to invest time into for marvel fans and the people who likes mysterious stuff. But again I am not too sure how good the rest of the episodes are to decide what overall rating the series deserves, I am waiting excitedly for future episodes."
1,"If this went any slower it would be in reverse, I can only hope the pace picks up as the series goes on. Acting was sub par to the point I was laughing at them. The voice in his head sounds so much like Venom's I kept thinking about the venom films instead of watching this lol."
6,"I absolutely loved the first episode but also felt a little cheated by the fact we saw most of this episode due to the heavy over-saturation in repetitious trailers from Marvel leading up to todays release.

I am a big fan of Moon Knight, so seeing such a niche yet anticipated character on screen and being already so visually familiar with what unfolded in episode one left me a bit meh yet also yeah!

Being born and bred in London I was biased at first with his accent but found it cute after half an hour and loved the familiar setting of the British Museum.

Was interested in how a gift shop clerk could afford so much living space in Central London on his wage but came to the conclusion Marc pays the rent there.

Mystery solved.

I personally feel the Marvel TV shows are great in their use for cementing their universe and ultimately I'm just happy I'm seeing Moon Knight on screen.

Fair 6/10 to start."
9,"So.... I've been a fan of this character since issue 1 of the comic, he has been pretty much a little known character apart from the odd appearance's in some cartoons. So imagine my delight when I heard that this character was getting his own show and now this show has arrived, I know it's just the first episode but it's brilliant. Oscar Isaac does a great job in my opinion, the build up was excellent and all the Egyptian influences where spot on. Can't wait for the next episode...??"
4,"This is definitely one for the fans of the franchise. If you have not read Moonnight previously you won't have a CLUE what is going on. No flashback scenes, back story etc just straight into chaos.

The trailer looked good but I've just watched the first episode and was left scratching my head.... not a clue.

I'm sorry, I can't get pass the very poor English accent ( big fan of Oscars previously work)."
9,"Great! Story is mysterious and had me locked in. Touches on a very dark element ( mental illness) a character could have, nonetheless a superhero! Well...maybe a superhero. Who knows? But at least it already feels different than other MCU projects. Really curious and excited to see where this goes!"
10,"The acting is amazing, the atmosphere is something completely fresh. Though I do feel as if Marvel Studios is slacking on the CGI. The cgi animations in first Spiderman no way home, Hawkeye, and Moon Knight just looks really sloppy and playdoh ish. I pray that they don't continue this downslope. Because literally the poor FX is the only thing that makes me not want to watch, but once again this is definitely a great show. 10/10 on performance. Again the CGI is just so unrealistic."
4,This is based on the first episode but if this is any indication on what's to come then this is not a good show. Oscar Isaac is good as expected but everything else is bad really bad. The CGI is awful the acting basically non existing from the rest of the cast and there are so many stupid little things in this show that I would expect in a fan film or cheap TV show 20 years ago but not from a Disney prodction with that production value. I feel like its mostly the director to blame here because he had to say "great job this one goes in the show"
9,First episode best Marvel i have seen on TV. Great casting of Oscar Isaac as. Marc Spector...and the inspired idea to bring back Billy Drago from the dead to play. Arthur Harrow. Looking forward to watching the rest.
10,"Away from being An American Egyptian who is hyped up to watch how they'll showcase the old Egyptian heritage through the MCU Lens , I was waiting to watch the very Talented Isac and his amusing performance! I've enjoyed the premier , the way they're making the series events mysterious and slowly showing off fits the bill when it comes to a show based on Ancient Egypt ! Can't wait to see how things will unfold in the upcoming episodes."
9,"I'm only reviewing this series because I think 7.3 is really inaccurate. To rate it so low based on the first episode is ignorant. I think the first episode showed a lot of promise. It was very exciting and was a great set up for many mysteries. I think you should watch this because it has exciting Egyptian mythology paired up with violence and fantasy which makes it an absolute thrill to watch. It is not just an average show, its one with an enticing storyline. The scenes are very beautiful and the direction keeps the watcher on their feet trying to figure out what is going on. This new anti-villain will certainly be a thrilling addition to the MCU."
1,Show was very boring i could not watch till the end i just skipped and skipped..in my opinion Oscar Isaac it's not good choice for moon knight and the CGI is very average and midcore...
8,"We didn't get to see fight scenes ... They just pretended it happened but it never happened... Series would have been cool if they have only Marc Spector persona.... This thing really gonna confuse people...

This is only first episode... I still have faith that show will be good ...

Expected dardevil and punisher type of vibe but this show isn't that... Looks like gotta wait for daredevil s4 ( oh that's gonna be pg 13 , Marvel ruined it

Just hoping show turned out to be good ... Giving 10 stars cause I'm watching Marvel since i was little 4 year kid."
6,"I can't believe all these people are giving the show a 10 off the first episode. Maybe they're bots. Who knows. The first episode was very average. Not very exciting and very little action. The world is not very interesting and the setup seems very unimaginative.

It's also pretty pointless to build an entire episode around the mystery of what's happening to him, when the entire audience knows exactly what is happening to him. Even worse, to double down on this ""mistery"" by cutting out the fight scenes."
6,I had never heard of this character before. The opening episode was full of the usual action and seems like just another formulaic marvel venture. Peacemaker this is not.
4,"It really follows the typical recipe from superheroes movies. It is boring and predictable. Great acting and special effects, but not much more. I will be updating this if I see any improvements."
10,"When the whole world believes that MARVEL is all about making shows & movies for only children then they released MOON KNIGHT, mysterious, intriguing, entertainment with Dark tone, and the ending (ep 1) is so top class that leaves you craving for more. Others should learn from MARVEL on how to keep their audience engaged and add new ones too."
9,"If they can keep this level of quality up it'll be the best disney + show they've done yet and one of the best pieces of marvel content, period. Really strong start with great writing & imagery and already one of the best performances in the whole MCU - Oscar's acting in the steakhouse was incredible, and Ethan hawke is turning in a great performance too. Two S-tier actors clearly giving this their all and not phoning it in at all. AND we have Justin benson and Aaron Moorhead (writers and directors of the great and smart 'The Endless') directing the majority of the rest of the episodes. Way more violent than anything Disney + has done so far which is great. The cinematography and effects were laudable and the score was great and unique also. All that being said, the quality of the show could still drop off a cliff next week, but this episode is a 9.5/10 for me. Thanks for attending my Ted talk."
10,"One minute and thirty seconds in and I thought ""Wow, this is going to be different!"" And it certainly was. It's like the Marvel Universe has started to grow up and reach maturity after all these ?50 years?. Not to be watched whilst eating dinner and definitely not for the squeamish.

I haven't come across Oscar Isaac before but I'm going to check out his other work now, he's well cast here, having to bumble through life with a ""What The Heck!"" expression and then completely change character (no spoilers here!). It certainly held my attention and had some VERY expensive set pieces that made me go WOW! Again. Well done to everyone involved, can't wait for episode two!"
10,"This is a show anyone will be loved by history and comic lovers, it's incredibly engaging and entertaining at the same time, first episode left me in awe! What a plot and the mind puzzling scenarios.

I was overwhelmed trying to keep up with what's happening and I mean that in a good way.

The Cinematography and soundtrack are brilliant and perfectly tailored for such a strong/dark comic adventure.

A true feast for the eye..can't wait for the rest of the season."
10,"This series is the best mcu series so far that are canon to the mcu. The action, is amazing and oscar Isaac is amazing for this role!!!Also it's dark but not like daredevil and the punisher. As more episodes come out this series will become better and better!!!!!"
9,"Based on first episode only, terrific acting from Issacs and a truly original and intriguing storyline. Love Issacs' London accent which is spot on, similar to Trevor from Iron Man 3. Also very grateful to all the other reviewers for pointing out the Armenian genocide. I think most people missed this reference during the show and were probably unaware until so many pointed it out in their reviews of Moon Knight so thanks for highlighting and informing so many of this awful historical event."
10,"Marvel is trying something new and it looks like it is going to work! Go into it expecting to be confused, that is exactly how the show is supposed to feel. It's great!!"
9,"Amazing show, start to finish. Good characters and excellent actors. Oscar Issac was/is great. Can't wait for the next episodes. MARVEL has another huge hit on it's hands. Bravo."
10,"Watched the trailer and thought it might be a gas, and it was! Great fun, and it keeps on giving. The only disappointment was when Steven can here a voice in his flat and my 10 year old daughter said, I hope that's the fish talking"". Marvel you missed an opportunity 8-) Damn good show, watch it!"
1,The MCU died after End Game. This show simply serves to speed up the decay of the Marvel corpse. Surely someone watched it before it was aired?! Surely someone realised the English accent was beyond awful?! They must have known they were putting out one of the worst shows ever made. I laughed when I watched the trailer because of how bad it all was and then I watched out of morbid curiosity. WARNING - this show may cause the viewer brain damage!
10,Didn't except this much from this.....it's one of the best series from marvel.....very nice ?? must watch it waiting for episode 2......I hope they release soon.
2,"This was Disney's chance to finally do something in the tone of the Netflix series but what we got here is just the same old MCU which is now getting tiresome.

Mundane villain bland set pieces and sanitised, these Disney+ series have been a real let down!"
9,"So far I am very intrigued by the first episode. As usual, the MCU does a good job putting these shows on-screen. I'm ready to learn more. I expect to become a fan as we move through each episode. Mostly I am curious as to how he will fit in with the rest of the MCU."
10,"It's about time! Disney finally produced something worth watching. Interesting characters and plot, great music and visuals. So far Wandavision and Loki have been the only good shows and this has been added to that list."
9,"A new marvel series. Moonknight is introduced in mcu. I was impressed by the first episode of the series. It had action and the one thing i love generally at series is that from the first episode we learn the origins of the character and not from the 3rd episode.

Oscaar Isaac was fantastic. The cast even from the first episode made me a good impression. I can't wait for the next episodes."
9,"Happened to catch the first episode while staying at an Airbnb with Disney+. I'm not a colossal Marvel TV follower nor have I seen much of Oscar Isaac before. But this was objectively very engaging if a little gory. As a Brit living in the US I usually deteste people 'doing' a British accent but that was better than the average. The story moves at a good clip, twists, turns and lots of the unexpected. I may get Disney+ to watch the rest of it. Bloody good show."
10,"Great character building from hero to villain, fantastic acting, nice mystery throughout, excellent action and of course special effects.

So far it's everything I could've hoped for."
5,"The production value is there and I like the concept and what they're trying to portray. The acting is good and the writing is adequate but the tone is all wrong.

There is way too much buffoonery and not enough grit."
9,"The show is very good and the Egyptian theme is well done. It's a psychologically intriguing trip with alternate personalities. Each episode explains more and more, yet new questions form as the episodes become more filled.

Thank you, New Rockstars of YouTube, for being the best Cinema Guide for all things marvel. I always have a blast when watching their videos for better context into what I'm getting into!"
9,"Reviews of this don't do the first episode and possibly the season justice,


People saying this is for children, what? NO a guy with a split personality disorder combating he's demons and self worth.


Great acting, another marvel master piece give it a chance."
1,"As other reviewers have mentioned, it's starting off kinda like Venom except less entertaining. If this show improves later on in the season/series, they probably should have released it all at once or like the final season of Money Heist releasing them in 2 parts."
9,A chaotic first episode but super fun and with lots to unpack I definitely looking forward to finding out more in future episodes. May have to brush up on my Egyptian mythology just to see what marvel changes though.
10,I am so glad that this iconic hero just debuted! Oscar Isaac delivers a very well rounded performance in the pilot and I can't wait for more to come! This is a great instalment to the MCU! Way to go Marvel!
10,"Moon knight has been my favourite character from marvel for a long time and I'm happy he's finally getting some recognition, the show and plot are good and the actors, it's dark but not as dark I thought it would be, very excited what they will do with the next 5 episodes but so far it's looking good."
8,"Here comes Marvel! This is a great set up for what seems to be a very intresting series. I already like the dynamic. It's something we haven't seen before. Venom comes close to what they are trying to do. An interesting protagonist and antagonist. Although, yea, the latter seems like the same fodder. Trying to take over the world, for a better world. We seen that. Point is this: They are upping the stakes and giving you a hero, that knows and doesn't know. Streaming on Disney every Wednesday."
10,Bette than xpctd! Woth a watch with good pacing and action. Didn't think I'd like it as I don't usually like Marvel content but so fa so good. Will watch next episode to find out what happens next.
9,"I am truly suprised, i didn't think it would be so nice.

Oscar is perfect for the role. Definitely has horror vibes, the change between his other self is great, hope it does not get ruined. The cult is great."
10,"Still too early for a thorough review. Only comment for now is that the 1st episode is 10/10 quality on all levels: acting, script suspense and originality (psychological, mystical), fundamentals set for a uniquely original superhero. Ticks all the boxes like no one else so far. Maybe not your customary superhero series (at least not yet), but that is exactly what makes it a genius production."
1,"Marvel really has to stick to making movies. This is just what you would expect. Pure cringe. Even this would be an understatement of how boring and stale this show was.

I am a millenial, my cousin is ""gen z"". Neither of us enjoyed a second so i don't think this is a generational issue either."
1,"I like probably three out of four MCU movies and maybe half of the MCU TV shows so far but I found this to be the worst of the bunch.

I don't understand all the 10 reviews. Maybe you need to read the comic book to enjoy this but so far it's terrible on so many levels by brain is rebelling at even having to describe all the ways I did not enjoy this show. The special effects are OK but it seems like these MCU shows are coasting on people adoring them because there is no possible way any MCU show can be less than perfect. I think book of boba fett falls into the stinker category too but at least it had a coherent plot."
2,"At some point I fall asleep and woke up in a different scene. So I totally undersand what the protagonist feels like.

I think this is a narrative style which never tried publicly before."
10,"At least I'm not the only one that thought Moon Knight was going to be a movie lol I did not know it was going to be a show but I'm here for it!

It was a great first episode! I'm already hooked and can't wait to watch the whole series and see where this goes in the MCU! I'm excited!

Now it's about to get real!!!"
10,"Ignore the BS from previous reviewers. This show is AMAZING. Soundtrack - 100%, acting - 100%. People are allowed to enjoy a first episode because they simply loved it."
10,Every time I wake up then I start to break up a super relatable story about Marc and Steven entangled into one persona. This has the potential to be the beat series yet.
10,"I had low expectations for this show, however I was proven wrong and this show is turning out to be better than all other previous Marvel shows done by Disney.

Oscar Isaac once again delivering an amazing performance.

The writers have challenged themselves by making this a different kind of show than what we are used to.

I look forward to see how the next episodes turn out to be."
7,"This is without a doubt the most confusing mcu thing I have ever seen. It is only the intro and the rating will undoubtebly change, but at the moment, I need more because I feel empty."
2,"This will be the last Marvel series I try to watch. It's the same tiresome formula of all other recent Marvel Projects - they introduce you to the new hero who overacts in every scene (not Oscar Isaacs fault he's a damn good actor, just usual Marvel formula) cracking jokes in every line of dialogue, getting into stupid slap stick situations and slowly unveils he's a superhero with a rich detailed past which is completely background to the comediec elements and a hero that no one else in the MCU knew about until he's shoehorned into every other Marvel project in the future.

The CGI is noticeable and looks like it came from the early 2000s, I know it's a TV series but surely a behemoth corporation like Disney can do better.

There's a potential ""villian"" played by Ethan Hawke, probably one of the more bearable characters as he's the only one not doing a stand up act - he runs a military/religious organisation that I guess no other Hero in Marvel can be bothered to deal with - which I'm sure there's a great one line of dialogue explanation to in a later episode.

The suit looks great and some of the action was entertaining but felt slightly rushed - I won't be watching anymore episodes, the preview made the series look more mature and interesting but it's the same old Marvel stuff."
5,"This is more an average show to me after two episodes. Not sure i will last until last episode. Maybe the British accent put me to sleep.

Nothing spectacular for the moment.

I will raise the average note if it gets better..."
5,"I have been looking forward to this for a while. Overall, dont get me wrong, it started off strong and has the potential to be a great mini-mini series. BUT, I dont know what goes through directors heads when they just let the camera person run around. The end product looks terrible. Its hard to concentrate on a couple of elements when the camera is that shaky. PLEASE stop doing this on TV shows and Movies. Its just as bad as having motion sickness.

Probably not the creators issue, I dont know the ins and outs of movie/tv show making but 6 episodes is not a series. Disney+ has a bad habit of making small series and each episode gets shorter and shorter. If it isnt at least 12-15 episodes at 45 minutes or more in length per episode (not including credits) dont bother, just make a movie instead.

Its these small things that can ruin a great show!"
10,"Look I get it that Batman is not cool like moon knight. Accept it and move on. Why so much hate? All the envious DC fans watched the show, had fun, and then came here to give it 1/2 rating out of 10? Grow up kids. Appreciate Good works."
10,I wrote my review before but it's really Funny how people are "triggered" over the truth Lol just saying. The Armenian Genocide happened and you can't deny it.
6,"As great as it is to have a brand new character in the MCU, this show, or at least the first episode, was a miss. Like other reviews state, I was expecting a darker, grittier take on the MCU, like Daredevil, Punisher, or Jessica Jones. However, I felt that the first episode replicated the same style as Capt. And the Winter Soldier and Hawkeye. Endless comedic relief, non-compelling storylines, forgettable villains, and borderline horrendous CGI. Like, probably some of the worst I've seen in any Marvel property.

I'm holding out for future episodes to redeem this one, but I'm afraid it is too late. Disney and Marvel have fallen into yet another cycle of pumping out the same stuff, different characters.

Overall, I would not recommend watching this to anyone looking for a new viewing experience. It is not Daredevil. Indeed it is nowhere remotely close, and I fear nothing will ever come close to replicating that experience.

6/10* for being a new concept, and I like Oscar Isaac."
10,"Why people have rated this show low baffles me! In my opinion, so far, it has the potential to be the best mcu Disney plus series. A more dark addition to the mcu with an interesting character added to the universe. People have gone and seen the Batman (which I thought was a very good film myself) and have now decided that the mcu is dirt, perfectly good start to the show."
9,"Ok first of all, wow this is indeed very different from what marvel usually does, it's classic, fun, thrilling and more! Istg when people said oscar issac was amazing, they meant it he is indeed very good in this! Can't think of someone better than him for this role. The tone is very different and I'm sure people will love it very much!"
3,Well that was rough. Horrible acting. The random background voice was just annoying and cheesy all the way through. Sucks cause I was really excited for this. Being excited for something Marvel doesn't happen much.
10,"Amazing story telling in the first episode, Brilliant acting by oscar isaac ?? And of course I Am liking the Egyptian mythology and overall feel of the show.. Can't wait to see the action sequences of MoonKnight ??"
9,First episode was amazing! I wanted more immediately! I wish would have ATLEAST got 2 episodes released on premiere night! There was so much happening right off the bat and it makes you think. I will be watching til the end! Cant wait!
9,"First off, this episode isn't perfect, it's too fast paced and there isn't enough time to take in everything. But it's one of the most entertaining opening episodes I've ever seen. This is an absolute HOOK that will almost for sure draw you in for the rest of the season. The jarring changes in perspective is one of the most intriguing concepts I've seen executed in the MCU.

This completely drew me in, and while I haven't been satisfied with some of the MCU shows (finales of hawkeye and wandavision, and everything about FATWS) this first episode gives me hope that disney+ can finally pull off a undoubtedly good show."
10,The show is about a person who is suffering from different personalities in different perspective. The show is dark. Oscar Isaacs acting in this show deserves more than an Oscar. Even the Oscar is not enough. Better than Loki. Better than all MCU shows. Moon knight is just awesome and incredible.
10,"Marvel took a dark tone and I'm expecting to live upto the impact created by the first episode. Damn! What a thriller ride till end. Although we knew it's his other personality, the director made it interesting with good screenplay. Oscar is perfect and Ethan giving me creeps. Loved them."
10,"In all honestly, I would have given Moon Knight an 8 but apparently its been unjustly review bombed. I'm basing this review on the first episode which had a really intense elevator scene, which I loved and the show so far reminds me of the Mummy, one of my favourite movies. Love the Egyptian mythology elements. Not completely sold on the english accents though."
10,"One of the best pilot I've ever seen. Great acting, great drama.. I've been captivated from the very beginning til the end.

Look forward to the next episode.

If the remaning 5 episides will be equally entertaining this series would be one epic masterpiece."
10,"Perfect representation of identity disorder. Perfect visual effects , Perfect curiosity development. Haters are making new accounts to downvote the series like they did on attack on titan . Anyway excellent show ."
8,"A very good first episode. It doesn't give much a way, rather keeps you gripped and guessing what is going on.

Also, Oscar Isaac with some tremendous acting!"
10,"This pilot has to be the best pilot I've seen in the MCU.

Without any spoilers, this pilot has blown me away from the acting, tone, mood, and theme. Just mind-blowing!

I strongly suggest you to watch it before commenting on the show-- don't be put off by its promotional material.

Easy 9.5/10!"
10,I've been waiting for Moon Knight with much more anticipation than almost any other Marvel project ... or Disney+ for that matter. It appears to be worth the wait. Oscar Isaacs has impressed; he is clearly invested and his performance thus far may be better than anything he's ever done.
10,"Another win for Marvel and Disney+. Loving the expansion of the MCU. Getting the Mandalorian to play Moon Knight was a real coup!

All those review-bombing just cuz you're mad, get a life. This is definitely another win for Marvel. Can't wait to see what else they do."
5,Marvel seems to have a pattern with developing characters who appear to be adults but for some reason are always to ditzy or stubborn to put 2 and 2 together while reciting cheesy lines and redundant behavior that never supports any progression in the story. Like every episode is 35 min of BS ( character pretends like they haven't received new info from prev episode and continues to run in circles) and then boom last 15 min and all of sudden the story starts to progress for 10 min and we're left with a " cliff hanger" lol if they say so. Also serious continuity issues. First being that they Describe Steven Grant as D. I. D but the only symptom they show is the time loss and an extra personality who never seems to phase in during stress like real D. I. D ( USA of Tara). And what was the reason for the setting being London??? The American actors British accent is terrible and if the story line was going to lead us to Egypt the man could have just been from America working at Smithsonian or actually working at Egyptian museum in Egypt.
9,What a mystery. This isn't the average how the superhero came to be. There is a lot of pieces to put together as a viewer. They did a great job of having you following along with the ride while the story unravels. I wish there was more then one episode available at launch.
10,"The first episode was brilliant, really enjoyed this, it was clever, funny, great action, great acting. Oscar was awesome in this, loved his quirky British accent."
6,"Why does Disney and Marvel suddenly have terrible CGI? That truck scene in episode 1 looked like something out of Spy Kids.

I honestly expect much more from Marvel."
9,"I dont write many reviews but what an opening episode, it had everything from intrigue to action and lots in-between. Issac's does a great job in my opinion of absorbing himself into this split personality role and I can't wait for episode 2. Another Marvel masterstroke so far."
2,"An overhyped tv show with an utterly convoluted and boring plot with little to no entertainment value (except perhaps for those with IQ of 5 year olds).

All releases from marvel's camp of late have been very poor and this one's not an exception either."
8,"As per expectations with marvel.

Really good start Good acting by Steven And waiting for others episodes.

, .............................................. Watch now."
9,"Disney has one up themselves once again. It's only been one episode but dammit that was probably one of the most action packed and well filmed pilots of any show I've ever seen, especially in the marvel series! Such an amazing interesting character and the costume is perfect!"
10,Moonknight in the show is a bit different than the one in the comics but in a good way. The supernatural aspect works really well. There was never a dull moment. Definitely worth a watch. And as a fan of the character I like this version more than the one in comics.
10,"Far far more better than what imagined Better story telling , series just takes it another level of emersiveness. Hope it goes on with same track, i might like a low burner for someone who's used to fast paced show but in my opinion its perfect combination of action comedy mystery 10/10."
10,"Excellent beginning am really excited for the rest.

Oscar Isaac becomes phenomenal.

Excellent acting directing everything exciting story.

I was lost passion in everything movie or TV series but this is the first thing from too long that am really love and waiting for the next episodes."
8,Good start to the story and character. Some good parallels to Venom which could make for a humorous duo in the future. Looking forward to seeing more of this show.
10,I get that there aren't enough episodes to make a full and accurate judgement on the show but that first episode so far was really really good! I love that it was a Marvel show but with a few thriller twists if that makes sense? Love the actors and how they're presenting everything. Love the actors and how they're presenting the characters! Can't wait til the next episode!
10,This is one of the best Web Series in Super hero genre . Isaac Oscar acting is marvelous in every situation you can connect yourself to it. Story is ground Related.
10,"I'm not a marvel fan, I don't like this type of stories, but this looks different.

Different character and different story.

It's tge first time I watch a marvel stuff and say wow, there's a director and he has a voice.

Thank you, Mohamed Diab."
10,"I have no idea how people didn't like this show. Exciting from start to finish, original, and fresh. Haven't been this excited for a show in a while. STEAKE TIME BABY."
8,Going into this show I didn't know alot about the character. This first episode does not have a dull moment in it it's very well thought-out and acted. It's quirky and just entertaining. Truly interested the see where this character goes not looking up any further information as I want to discover it as it goes along.!
10,"Marvel, keep making dark and bloody shows and movies, let the MCU R-Rated era begin! Don't let Disney or idiot Disney parental control people stop you."
10,"The best Marvel series and one of the best superhero series, especially the performance of the Egyptian director, and he sees Egypt in a different and real way."
8,"Ethan Hawke steals the spotlight every time he's on screen. The dual personality aspect of the show was done, great in the first episode. Some of the other Disney plus shows have been a letdown, and marvel fatigue is setting in. This is a wonderful start and I'm excited to see the rest of the show."
10,"Didn't know what to expect. At first I thought this was a movie when I saw the adds. To my surprise it's a show and it's actually pretty good. I'm not a fan of Marvel movies or shows at all, I think they're pretty garbage except for Thor Ragnarok and Loki."
2,"After marvels efforts the last few years I went in with very low expectations.

The show was even worse than what I could ever have imagined. So slow, that accent drove me mad, no action.

I wanted to turn off after 10 minutes."
9,I like what I see so far. It's only the first episode. So hopefully it will get better. Others with bad review give it a break and stop whining until a few more episodes comes out.
4,Show wouldnt be bad if you actually could see the fights and shooting and so on. This is typicall disney and like that i cant watch it. If HBO produced this it would be watchable.
10,"Really enjoyed it. Suspenseful throughout. Excellent work by Disney and the 1st episode is, like many have said, the most intriguing start to an MCU series so far."
9,"Moon Knight is a spectacular series, it's unlike anything you've ever seen from the MCU, as it's not only different, but it's also disconnected from past MCU storytelling while also sharing in the same universe. This is gonna be a wild ride with every upcoming episodes exploring the personalities of Steven and Marc (Oscar Isaac), while also exploring the mythology of Ancient Egypt, and dealing with the villain Arthur Harrow (Ethan Hawke) which is gonna get more interesting as the story progresses."
10,"One of the Best indroundaction ,of super hero series in Marvel, it's Different from Marvel other series ,it based on Marvel comic moon knight charcter."
8,"Granted I've only seen the first episode, but I think this show is setting up fairly decently. I enjoyed the pacing and character development of Steven/Marc, but it didn't feel like the show I thought it was going to be. Nevertheless, I think this show is a solid 8 as of right now. I'll edit this review as time goes on once I get a taste of the filling rather than just witnessing the presentation!"
6,Completely overhyped. Mind numbing. Oscar is a good actor but this is terrible. The dialogue is cheesy and this should have gone the same dark route daredevil did. Sigh.
10,One of the greatest things in the history of marvel television. I enjoy Oscar Isaacs performance as Marc Spector/ Steve. The story line was also amazing and honestly I have watched it over and over again.
10,"Screw these dumb review bombs. The show is after only 1 episode already amazing.

Isaac does an incredible job at portraying both Steven and Marc.

The mental health aspect of the character has been put well in focus.

I am very excited to see where this goes next."
7,"This first episode definetly met it main porpouse delivering a good introduction to the character and making me want more of Isaac's enthralling performance and Moon Knight's appearence. I wasn't expecting that much of action and thrilling in the series prologue, really hope the show maintain that same energy and rhythm until the end."
10,"What a start! Not a single wasted scene or piece of dialogue.

Isaac is captivating and compelling and Hawke is really interesting addition to the mcu.

Oscar Isaac as well - real exciting!

Have high hopes for this one, even if it's in a new direction (as is well needed) for the mcu or if it's not."
10,"Moon knight is the first marvel show I've watched where I'm not really familiar with the character, so I don't really know what to expect. Having said that, Oscar Isaac gives a great performance in the first episode of a man who clearly has issues and doesn't have things together. He's not respected at work, fails in his love life and even his mom won't answer his calls. Worst of all, he evidently has some major sleep walking issues and has had to chain himself to the bed at night so he doesn't go off hurting himself. Turns out it's a little more complicated than just sleep walking. The action is great, the story line is great and there's enough mystery here to keep you looking for the next step.

WandaVision and Loki have been the highlights of Marvel tv for me so far, but both shows took a few episodes to get going and they felt like TV. Moon Knight gets going in the first episode and it really feels like a film. If the next five episodes bring it like the first one did, this is going to be a phenomenal show, maybe the best of all of Marvel TV to date."
10,Just finished watching the first episode and I am very keen for more! Haven't been this excited about a show since Mandalorian and Loki. The theme is really good and I enjoy the way the first episode gives an insight into Steven's life and the kind of man he is. It really helped me empathise with his struggle. I give it 9/10 but rating it 10/10 to help off set the appallingly low ratings from meat heads who just want 100% action and no story.
10,"The most entertaining MCU series so far. With the potential to be iconic.

Oscar Isaac is brilliant at playing an oblivious a British ""gift shopest"" Steven Grant who shares his body with mercenary Marc Specter and manages the situations he faces comedically.

The acting was great, the story is compelling, and the potential to create fun situations is better than all other MCEU series."
9,"For not knowing anything about this character, I am looking forward to the further episodes!! The acting is excellent and the transition from scenes to scenes is a very good pace and easy to understand. I'm so glad to see Oscar Isaac get another chance at a marvel character, he does this one, in my opinion, excellent so far."
1,Good movie if you suffer from sleep disorders. Extremely bad and boring if you don't. Also Oscar Isaac's acting sucked as usual. The most overrated actor ever. Don't waste your money or time.
10,"Great performances, good story.

As usual Marvel have woven together a great story but it is the charisma of the lead performances that really carries this. Really enjoyed it and looking forward to more."
1,Marvel is good with movies and Loki was good but this does not seems worth watching. I hope it gets better but I do not think so. I hope marvel brings better actors and better team for next shows.
10,"I turned it on briefly with the full intention to wait for my family to get home but before I knew it I had watched the whole thing with my mouth open the entire time.

The ""slow parts"" are the best parts. What a character study. I was mesmerized the entire time, the acting is fantastic, and I can't wait to see where the rest of the series goes.

If there was any negative it was the CGI was pretty weak. It draws you out of the moment. Have we not learned from Green Lantern? Give the guy a real cape.

Still might be my favorite Marvel show yet."
10,"Fast paced, unique vision, unraveling mysteries, and interesting history of Egyptian gods!!!

The acting is incredible, and the action sequences are unique. I love how mental health is part of the exploration of the plot.

Highly recommend!!"
1,Go back to cartoons and stop messing around with Star Wars and Marvel Disney. Every thing you did disgrace to the comics. High budget cgi boredom fest.
1,"There is something wrong with this show, and I believe it is horribly directed. I've always loved Moon Knight, but this! NO I'm not going to see the rest of it."
